grover's disease,"['sudden rash chest back sometimes arms legs', 'blisters containing thin watery liquid hair follicle center', 'blisters clumped together surrounded red swollen ring', 'itching may intense', 'antifungal pills', 'antifungal lotions selenium sulfide', 'cortisone shots', 'oral corticosteroids', 'antibiotics', 'systemic retinoid']"
porphyria,"['drinking', 'estrogen use women', 'hepatitis', 'hiv', 'smoking', 'barbiturates', 'sulfa', 'birth control pills', 'seizure', 'fasting', 'smoking', 'drinking alcohol', 'infections', 'menstrual hormones', 'stress', 'sun', 'belly', 'chest pain', 'faster', 'limb', 'muscle weakness', 'tingling loss sensation', 'cramping', 'vomiting', 'long term pain', 'kidney', 'liver cancer', 'hands', 'forearms', 'ears', 'neck', 'blisters', 'itching', 'swelling', 'pain', 'darkening thickening', 'regular removal blood lower amount iron liver called', 'low doses antimalarial drug', 'hematologists doctors treat blood diseases', 'dermatologists specialists skin diseases', 'hepatologists doctors treat', 'genetic counselors advise people risk inherited diseases']"
grieving stages grief,"['tiredness', 'headaches', 'nausea', 'upset stomach', 'joint pain', 'weak muscles', 'tightness throat chest', 'loss appetite', 'sleeping much little', 'feeling sad loved one died also sense relief pain', 'missing spouse divorce also feeling happy new start', 'guilt glad longer take care dying loved one', 'feeling apathy']"
baby group b strep,"['fever', 'fast slow strained', 'trouble eating', 'extreme', 'irritability', 'blue color', 'fluids vein', 'oxygen', 'medicines treat symptoms']"
goiter,"['hoarse voice', 'tightness throat', 'dizziness raise arms', 'swollen neck veins', 'coughing', 'trouble breathing', 'sweating', 'diarrhea', 'nausea', 'fast pulse heartbeat', 'shakiness hand tremors', 'weight loss', 'high', 'overheated feeling', 'nervousness', 'muscle', 'dry skin', 'tiredness', 'weight gain', 'constipation', 'irregular period', 'slowed physical mental functions', 'depression', 'cold feeling', 'tingling numbness hands']"
graft versus host disease,"['thickened skin sclerosis severe dryness extends skin genitals nails', 'swollen belly weight loss able eat', 'high levels cholesterol blood fats signs liver working well', 'dry mouth sensitivity certain foods possibly gum disease', 'gritty dry eyes changes vision', 'dry cough shortness breath', 'muscle pain weakness loss range motion', 'painful sex due changes within genitals vagina', 'corticosteroids usually first drugs given acute gvhd doctor may put methylprednisolone weeks chronic gvhd might take prednisone pill form weeks months goal taper drugs soon possible']"
hypoparathyroidism,"['muscle cramps spasms legs feet lower back face', 'tingling fingers toes lips', 'anxiety', 'heart failure', 'irregular heartbeat', 'low blood pressure', 'seizures', 'cataracts', 'dental problems', 'movement disorders like tremors', 'hair loss brittle nails', 'bone disease']"
use heat ice pain,"['skin purplish red dark red spotty red white color', 'hives', 'swelling', 'blisters']"
prader-willi syndrome,"['poor muscle tone limbs hang loosely hold', 'inability suck nurse well gain weight slowly', 'eyes', 'appearance tired time', 'weak soft cry', 'poor response', 'babies', 'older kids teens']"
hyperemesis gravidarum,"['lifestyle changes', 'ginger', 'pyridoxine', 'thiamine', 'medications']"
rashes,"['blistering', 'redness', 'scaly dry skin', 'similarity hives', 'blotchiness', 'swelling inflammation', 'itchy skin', 'pain', 'infection areas broken skin', 'shiny flat topped bumps', 'large affected areas skin', 'circular shaped affected areas', 'skin', 'blood', 'allergy test']"
sideroblastic anemia,"['pale', 'rapid', 'headaches', 'heart palpitations', 'weakness', 'chest pain']"
anemia,"['dizziness lightheadness feeling like pass', 'fast unusual heartbeat', 'pain including bones chest belly joints', 'problems growth children', 'shortness breath', 'skin', 'cold hands', 'tiredness weakness', 'brittle nails', 'mouth ulcers', 'loss sexual interest', 'women increased menstrual bleeding', 'inflamed sore tongue', 'rest little activity shortness breath', 'getting lightheaded stand', 'pale skin color', 'pica syndrome desire eat non food things ice', 'blue color whites eyes']"
mononucleosis,"['fever', 'fatigue', 'sore throat', 'swollen lymph nodes', 'sore muscles', 'loss appetite', 'complete blood count', 'antibody tests']"
symptoms infantile spasms,"['positive myoclonus twitch muscles suddenly tense', 'negative myoclonus muscles suddenly relax']"
prediabetes (borderline diabetes),"['lot thirstier usual', 'pee lot', 'lot']"
idiopathic pulmonary fibrosis (ipf),"['chest pain tightness', 'leg swelling', 'loss appetite', 'feeling tired usual', 'joint muscle aches', 'weight loss without trying', 'clubbing tips fingers toes get wider']"
kneecap problems,"['bruises', 'walk', 'straighten knee keep straight raise leg']"
acute kidney failure,"['peeing less normal', 'swelling legs', 'feeling drowsy tired', 'shortness breath', 'itching', 'joint pain swelling', 'loss appetite', 'confusion', 'throwing feeling like going', 'chest pain', 'muscle', 'seizures', 'stomach', 'fever', 'rash', 'nosebleed']"
seborrheic dermatitis,"['flaking skin', 'flakes skin mustache', 'patches greasy skin covered flaky white yellow scales crust', 'rash may look darker lighter people brown black skin redder white skin', 'ring shaped annular rash called petaloid seborrheic dermatitis', 'itchiness pruritus', 'use oil remove scales', 'wash skin', 'avoid hair styling products', 'avoid skin hair products', 'clean eyelids', 'use aloe']"
kernicterus,"['seizures', 'unusual motor development movement', 'muscle spasms writhing', 'hearing sensory problems', 'inability gaze upward', 'stained']"
kawasaki disease,"['high fever', 'rash', 'peeling skin', 'swelling redness hands bottoms', 'red', 'swollen glands', 'irritated throat mouth lips', 'swollen bright red strawberry', 'joint pain', 'belly', 'stomach', 'peeling skin hands feet']"
klinefelter syndrome (xxy syndrome),"['hernia', 'quiet usual', 'slower learn sit crawl talk', 'testicles dropped scrotum', 'weaker muscles', 'hard time making friends talking feelings', 'low energy levels', 'problems learning read write math', 'shyness low confidence', 'larger', 'less facial body', 'less muscle tone muscles grow slower usual', 'longer arms legs wider hips shorter torso boys age', 'puberty never comes comes later quite finish', 'small', 'taller usual family', 'infertility', 'low', 'low testosterone', 'problems getting keeping erection']"
diabetic nephropathy,"['swelling hands feet face', 'trouble sleeping concentrating', 'poor appetite', 'nausea', 'weakness', 'itching', 'drowsiness end stage kidney disease', 'abnormalities hearts regular rhythm increased', 'muscle']"
kidney disease,"['high blood pressure', 'nausea vomiting', 'loss appetite', 'fatigue', 'weakness', 'trouble thinking', 'sleep', 'muscle', 'swelling', 'itching', 'chest pain', 'shortness breath fluid builds']"
high blood pressure kidney disease,"['high worsening blood pressure', 'decrease amount urine difficulty urinating', 'edema fluid retention especially lower legs', 'need urinate often especially night']"
nocardiosis,"['chest pain', 'coughing', 'sweating', 'chills', 'feeling weak', 'lack appetite', 'unexplained weight loss', 'shortness breath hard time breathing', 'bad', 'motor skills problem like balance hand', 'extreme sensitivity loud sounds bright lights']"
myelodysplastic syndromes,"['constant tiredness common symptom', 'unusual bleeding', 'bruises', 'paleness', 'shortness breath', 'take sample blood count different types cells', 'get sample bone marrow analysis technician insert special needle hip bone breastbone remove sample', 'order genetic analysis cells bone marrow']"
mumps,"['use cold warm packs swollen areas', 'drink lots fluids', 'eat soft foods', 'rest', 'take counter non aspirin pain relievers']"
peripheral neuropathy,"['tingling', 'numbness', 'loss sensation arms legs', 'burning sensation feet hands']"
multiple myeloma,"['bone pain', 'weakness fatigue', 'weight loss loss appetite', 'upset stomach', 'constipation', 'confusion', 'frequent infections', 'severe thirst', 'weakness numbness arms legs', 'bortezomib', 'carfilzomib', 'ixazomib']"
parkinson's plus syndromes,"['early signs dementia', 'falling often', 'trouble moving', 'symptoms get worse level', 'medication help people move easily feel less stiff drugs also help problems caused multiple system atrophy like fainting', 'cane walker help get around', 'speech therapy help communicate better', 'exercise', 'occupational therapy help make everyday tasks easier']"
muscular dystrophy,"['genes cause', 'muscles affects', 'age symptoms first appear', 'quickly disease gets worse', 'duchenne muscular dystrophy', 'becker muscular dystrophy', 'myotonic muscular dystrophy', 'congenital muscular dystrophy', 'limb girdle muscular dystrophy', 'facioscapulohumeral muscular dystrophy', 'distal muscular dystrophy', 'oculopharyngeal muscular dystrophy', 'emery dreifuss muscular dystrophy', 'fall often', 'weak muscles', 'trouble getting climbing stairs running jumping', 'walk toes waddle', 'curved spine called', 'droopy eyelids', 'heart problems', 'trouble breathing', 'vision problems', 'weakness muscles face', 'physical therapy', 'occupational therapy', 'speech therapy', 'respiratory therapy', 'medicines', 'eteplirsen exondys golodirsen vyondys53 vitolarsen viltepso', 'anti', 'blood pressure', 'drugs turn body immune system', 'steroids', 'creatine', 'surgery']"
pain relief,"['byron cryer spokesman american gastroenterological association associate professor medicine university texas southwestern medical center dallas', 'nieca goldberg spokeswoman american heart association chief women cardiac care lennox hill hospital new york', 'john klippel president ceo', 'scott zashin clinical assistant professor university texas southwestern medical center dallas author']"
broken nose,"['swollen bent crooked nose', 'pain especially touch nose', 'nosebleed', 'black', 'trouble breathing', 'mucus', 'cracking sound touch nose']"
non-small-cell lung cancer,"['coughing', 'chest pain', 'hoarseness voice changes', 'harsh raspy sounds breathe', 'wheezing', 'weight loss', 'coughing blood', 'shortness breath', 'feeling weak tired', 'lasting lung problems like', 'bone pain', 'headache', 'dizziness', 'numbness', 'yellow']"
renal cell carcinoma,"['lump side belly lower back', 'blood', 'low', 'losing weight', 'feeling', 'fever', 'feeling tired', 'enough red', 'night sweats', 'high levels', 'high blood pressure', 'first notice problem', 'blood urine', 'pain', 'anything make symptoms better worse', 'anyone family von hippel lindau disease kidney cancer']"
need nitroglycerin sudden chest pain,"['aching discomfort pain chest', 'aching discomfort pain jaw throat shoulders arms upper belly', 'trouble breathing', 'tiredness', 'nausea']"
polycystic ovary syndrome (pcos),"['non hyperandrogenic pcos type', 'ovulatory pcos type', 'non pco pcos type', 'full blown pcos type', 'insulin resistant pcos', 'inflammatory pcos', 'hidden cause pcos', 'pill induced pcos post pill pcos', 'periods regular', 'signs body making extra androgens acne excess facial body hair blood test shows high androgen levels', 'ovarian cysts enlarged ovaries show ultrasound', 'going sleep waking time day', 'avoiding screens close bedtime', 'making sure bedroom dark cool quiet']"
sleep disorders,"['urinary tract infection', 'diabetes', 'structural anatomical abnormality', 'sleep apnea', 'neurological problems', 'emotional problems']"
osgood-schlatter disease,"['rest', 'ice', 'cross training', 'stretching', 'protection', 'stabilization strap']"
peripheral artery disease (pad),"['changes color legs', 'erectile dysfunction', 'leg weakness', 'fatigue walking especially legs', 'legs cooler arms', 'one leg feels colder', 'loss', 'fainter pulse feet', 'shiny', 'skin looks pale kind blue', 'slow toenail growth', 'wounds sores toes feet heal well', 'family history pad heart attack stroke', 'high blood pressure', 'high cholesterol', 'smoke past', 'african american', 'overweight', 'control cholesterol blood pressure', 'control', 'eat healthy', 'exercise', 'smoke', 'angioplasty', 'medications', 'surgery']"
things prevent carpal tunnel syndrome,"['adjust keyboard position bend wrists type', 'keep elbows close side type']"
pneumonia,"['chest pain breathe cough', 'cough produces phlegm mucus', 'fatigue loss appetite', 'fever sweating chills', 'nausea vomiting', 'shortness breath', 'blood tests look signs bacterial infection', 'chest ray find infection lungs far spread', 'pulse oximetry measure level oxygen blood', 'arterial blood gas test measure oxygen small amount blood taken one arteries', 'bronchoscopy check airways blockages problems', 'scan get detailed image lungs', 'pleural fluid culture doctor removes small amount fluid tissues around lungs look bacteria might cause pneumonia']"
brain essential tremor,"['shaking brief periods time control', 'shaking voice', 'nodding head', 'tremors get worse emotional stress', 'tremors get worse move purpose', 'tremors lessen rest', 'balance problems rare cases', 'medications', 'adaptive devices', 'deep', 'mri guided focused high intensity', 'thalamotomy', 'biomechanical loading']"
polymyositis,"['muscle aches', 'fever', 'weight loss', 'fatigue', 'joint pain', 'trouble breathing', 'physical therapy', 'speech therapy', 'dietetic assessment']"
hyperthyroidism (overactive thyroid),"['thyroid panel', 'thyroid scan', 'ultrasound', 'radioactive iodine uptake test', 'headache', 'dizziness', 'digestive problems', 'orbital decompression surgery involves removing bone', 'eye']"
pick's disease,"['diagnosed earlier life', 'tend get lost familiar places', 'harder time making sense words words others', 'behavior problems early behavior problems usually come late', 'many']"
rett syndrome,"['less reaction pain usual', 'small hands feet often get cold', 'trouble chewing swallowing', 'grinding teeth', 'bowel problems']"
respiratory syncytial virus (rsv),"['high pitched whistling wheezing noise breathe', 'unusually upset inactive', 'cough yellow green gray mucus', 'trouble breathing pauses breaths', 'refusing breastfeed bottle feed', 'signs dehydration lack tears crying little urine diaper hours cool dry skin', 'remove sticky nasal fluids bulb syringe saline drops', 'use cool mist vaporizer keep air moist make breathing easier', 'give little one fluids small amounts throughout day', 'use non aspirin fever reducers acetaminophen check label follow directions carefully', 'oxygen', 'fluids', 'medications procedures intubation open airways']"
tuberous sclerosis complex (tsc),"['seizures', 'behavior changes', 'nausea', 'problems autism developmental delays', 'notice brought today start', 'seizures happens long last often', 'often', 'anyone else family seizures epilepsy', 'anyone family tsc', 'scan series rays creates detailed pictures body check tumors changes related disease', 'mri makes detailed image mri scan show', 'echocardiogram', 'gene tests done blood sample also confirm tsc']"
types stages syphilis,"['painless sores appear site infection', 'sores heal weeks still spread syphilis', 'easily treated cured medicine', 'rough red reddish brown', 'swollen lymph nodes', 'fever', 'sore throat', 'patchy', 'headaches', 'extreme tiredness', 'problems controlling muscle movements', 'numbness', 'vision', 'dementia']"
pilonidal cyst,"['pain', 'pus', 'bad smell pus', 'tenderness touch', 'fever']"
premature ovarian failure,"['hot flashes', 'night sweats', 'anxiety', 'concentration memory problems', 'trouble sleeping', 'vaginal dryness']"
sweet syndrome,"['feeling like flu', 'feeling', 'headaches', 'joint pain', 'mouth', 'pink eye']"
traveler's diarrhea,"['abrupt onset', 'fever', 'nausea vomiting', 'bloating', 'urgent need', 'malaise weakness discomfort', 'explosive painful gas', 'stomach', 'loss appetite']"
transthyretin familial amyloid polyneuropathy,"['cloudiness', 'dry eyes', 'increased pressure']"
concussions,"['confusion feeling dazed', 'clumsiness', 'slurred speech', 'nausea', 'headache', 'balance problems', 'blurred', 'sensitivity light', 'sensitivity noise', 'sluggishness', 'ringing ears', 'irritability behavior personality changes', 'difficulty concentrating', 'loss memory', 'fatigue sleepiness', 'loss consciousness', 'forgetfulness repeating', 'slowed response questions', 'problems sleep', 'depression', 'problems taste smell', 'headache', 'dizziness', 'problems balance', 'upset stomach vomiting', 'fatigue', 'sensitivity light noise', 'mental fogginess slowed thinking', 'problems memory concentration focus', 'feeling irritable sad nervous emotional usual', 'problems sleep', 'changes sleeping eating patterns', 'showing interest favorite toys', 'unsteadiness', 'staring blankly', 'able speak words slurred', 'loss consciousness', 'particularly babies crying without able consoled', 'also babies nursing eating', 'extreme emotions', 'confusion distraction', 'able preform new skills toilet training', 'large bruises head bumps places forehead', 'weakness arms legs', 'pale hour', 'changes behavior', 'becoming easily confused able recognize places people', 'slurred speech', 'problems mental function', 'stumbling clumsiness', 'vomiting nausea', 'dilated pupils', 'ringing ears away', 'seizures convulsions', 'dizziness away', 'improvement condition', 'unconscious longer seconds', 'worsening headache', 'fluid blood draining nose ears', 'take break', 'guard repeat concussions', 'treat pain aspirin free medications']"
toxoplasmosis,"['headaches', 'body aches', 'fever', 'feeling tired usual', 'confusion', 'lack coordination', 'blurred']"
tourette's syndrome,"['anxiety', 'learning disabilities', 'obsessive compulsive disorder', 'notice brought today', 'often move body way control long happening', 'ever say things make sounds without meaning start', 'anything make symptoms better makes worse', 'feel anxious trouble focusing', 'anyone else family kinds symptoms', 'mri uses powerful magnets radio waves make pictures organs structures inside body', 'scan powerful ray makes detailed images insides']"
dystonia,"['dragging leg', 'cramping foot', 'involuntary pulling neck', 'uncontrollable blinking', 'trouble speaking', 'handwriting gets worse write lines', 'tremor', 'levodopa sinemet tetrabenazine nitoman', 'benztropine cogentin procyclidine hydrochloride kemadrin trihexyphenidyl artane', 'baclofen baclofen clonazepam klonopin diazepam valium lorazepam ativan', 'botulinum toxin botox xeomin', 'deep brain stimulation dbs', 'surgeries', 'speech therapy voice therapy may help laryngeal dystonia strengthening muscles used speech', 'physical therapy focuses using movement stretch strengthen body specific exercises depend type dystonia best work physical therapist experience treating neurological conditions', 'occupational therapy like physical therapy focuses helping basic daily activities getting dressed', 'putting heat ice painful muscles', 'finding ways manage stress like deep breathing reaching loved ones support', 'trying sensory tricks may able temporarily stop muscle spasm simply touching part body nearby body part']"
transverse myelitis,"['pain back', 'sharp pain moves legs arms around chest belly', 'weakness paralysis legs arms', 'sensitivity touch point slight fingertip pressure causes pain', 'numbness pins needles feeling toes', 'muscle spasms', 'fever', 'loss appetite', 'bladder']"
toxic shock syndrome,"['high fever chills', 'muscle aches', 'vomiting diarrhea', 'headache', 'sore throat', 'low blood pressure', 'rash looks like sunburn especially palms bottoms feet', 'red eyes mouth throat', 'confusion', 'seizures', 'major criteria tss', 'tss typically caused']"
hypothyroidism (underactive thyroid),"['cold hands feet', 'constipation', 'extreme sleepiness', 'hoarse cry', 'little growth', 'low muscle tone floppy infant', 'persistent jaundice yellowing skin whites eyes', 'poor feeding habits', 'puffy face', 'stomach bloating', 'swollen tongue', 'umbilical hernia', 'delays puberty', 'delays growth shorter stature', 'slow mental development', 'slower development permanent teeth', 'thyroid stimulating hormone tsh']"
upper limb spasticity,"['stiff arm muscles', 'twitches movements control', 'trouble using moving arms', 'tightness muscles elbows wrists fingers', 'arms get stuck uncomfortable positions pressed side', 'rotated shoulders', 'bent elbows wrists', 'hands clenched fists', 'difficulty pain move straighten arm elbows wrists fingers', 'muscles spasms', 'start', 'often', 'anything make muscles feel better worse', 'pain stiffness', 'trouble daily tasks taking care hard', 'exercises like stretches', 'braces splints', 'onabotulinumtoxina', 'drugs', 'nerve block injections', 'surgery']"
vulvar cancer,"['change color vulva', 'unusual growths bumps may red pink white feel rough thick', 'change mole looks', 'thickened skin vulva', 'open sore', 'itching', 'pain', 'unusual', 'pain pee']"
von willebrand disease,"['frequent large', 'frequent hard stop', 'blood stool pee', 'heavy bleeding cut accident minor medical procedure', 'bleeding long period time major surgery', 'heavy long menstrual periods']"
vitamin b12 deficiency anemia,"['complete blood count', 'vitamin b12 level', 'intrinsic factor', 'schilling test', 'methylmalonic acid level mma']"
ventricular tachycardia,"['feeling lightheaded dizzy', 'chest pain', 'heart palpitations', 'shortness breath', 'fainting', 'tightness neck', 'stopped heart cardiac arrest', 'cardioversion', 'medications', 'cardiac resynchronization therapy crt', 'implantable cardioverter defibrillator icd', 'cardiac ablation']"
brain lesions,"['wait see lesion causing problems growing may need periodic checkups', 'surgical removal lesion possible new surgical techniques may make possible remove even hard reach lesions', 'chemotherapy', 'medication', 'medication calm immune system otherwise change immune system response', 'medication therapies relieve symptoms associated brain lesion']"
vaginal cancer,"['unusual bleeding vagina', 'watery bad smelling discharge vagina', 'pain', 'pain', 'pain peeing', 'peeing usual', 'constipation', 'lump vagina']"
vasculitis,"['fever', 'weight loss', 'loss appetite', 'fatigue', 'headache', 'general aches pains', 'eyes', 'skin', 'nerves', 'brain', 'heart', 'kidneys', 'digestive system', 'ears', 'hands feet', 'lungs', 'genitals', 'nose', 'mouth', 'type vasculitis', 'quickly diagnosed', 'organs affected seriously', 'health problems']"
sprained ankle,"['severe pain bruising severe swelling', 'bleeding numbness change color affected area', 'ankle looks deformed seems dislocated', 'put weight', 'rest ankle use crutches needed', 'ice ankle minutes every hours first days', 'compress wrap ankle lightly tightly elastic bandage ankle brace', 'first hours elevate raise ankle higher heart whenever lying']"
wolff-parkinson-white syndrome,"['dizziness', 'palpitations feeling heart flutter beat harder', 'loss consciousness', 'trouble breathing shortness breath']"
wilms tumor,"['belly', 'swelling belly', 'growth see feel belly', 'fever', 'nausea', 'lack appetite', 'high blood pressure', 'blood', 'constipation', 'shortness breath']"
vaginitis (vaginal infection),"['notice itching burning swelling soreness around outside vagina', 'burns pee', 'sex uncomfortable']"
vaginal yeast infections,"['burning redness swelling vagina vulva outer part female genitals', 'pain burning pee', 'pain sex', 'thick white odorless discharge similar cottage cheese']"
whooping cough,"['get lots', 'eat small meals often feel eating less often help prevent vomiting sometimes caused harsh coughing spells', 'clean air keeping air around free dust smoke irritants help soothe coughing', 'drink fluids stay hydrated drinking lots water juice']"
noonan syndrome,"['widely spaced', 'deep groove nose', 'low set', 'short neck', 'extra', 'small lower jaw', 'high arch roof', 'crooked teeth']"
wolf-hirschhorn syndrome,"['bulging wide set', 'droopy eyelids', 'cleft lip', 'downturned', 'low birth weight', 'microcephaly', 'underdeveloped muscles', 'scoliosis', 'heart kidney problems', 'failure thrive', 'physical', 'surgery repair defects', 'support social services', 'genetic counseling', 'special education', 'controlling seizures', 'drug therapy']"
whiplash,"['neck pain', 'headaches', 'pain', 'low', 'pain numbness arm hand', 'dizziness', 'difficulty concentrating remembering', 'irritability sleep disturbances']"
west nile virus,"['fever', 'headache', 'fatigue', 'skin rash', 'swollen lymph glands cases others', 'eye pain', 'fever', 'headache', 'stiff neck', 'changes consciousness ranging mild sluggishness severe mental confusion convulsions', 'fever headache', 'neurological symptoms including paralysis one limbs palsy may occur', 'tremors movement problems sometimes occur']"
west syndrome,"['crankiness', 'loss appetite', 'changes sleep patterns sleeping day less night', 'acting like see', 'slowed development', 'regression']"
tinea versicolor,"['patches white pink red brown may lighter darker skin around', 'spots tan way rest skin', 'spots show boldly tan', 'spots may occur anywhere body commonly seen neck chest back arms', 'spots dry scaly may']"
normal pressure hydrocephalus,"['memory loss', 'speech problems', 'apathy indifference withdrawal', 'changes behavior mood', 'difficulties reasoning paying attention judgment', 'walking problems', 'unsteadiness', 'leg weakness', 'sudden falls', 'shuffling steps', 'difficulty taking first step feet stuck floor', 'getting stuck freezing walking', 'inability hold urine', 'inability hold stool feces less common', 'frequent urination', 'urgency urinate', 'headache', 'nausea', 'difficulty focusing']"
tick bites,"['small hard bump sore', 'redness', 'swelling', 'body aches', 'chills', 'feeling', 'move arms legs part face', 'hard', 'severe headache', 'feel weakness arms legs']"
