Sickness_Name,Symptoms
burning mouth syndrome,"burning feeling the tongue roof the mouth gums inside the cheeks and the back the throat which may relieved with eating drinking 
 numbness tingling the tongue which can come and 
 trouble swallowing 
 dry mouth 
 sore throat 
 changes taste such bad taste metal your mouth 
 allergy test 
 biopsy 
 blood 
 scan several rays are taken from different angles then put together show more complete picture 
 mri powerful magnets and radio waves combine make detailed images 
 salivary flow tests measure your 
 medicines that help with nerve related pain such amitriptyline 
 capsaicin 
 clonazepam 
 female 
 mouth rinses 
 products that replace your 
 vitamin 
 avoid acidic foods like tomatoes and orange and citrus juices 
 avoid 
 avoid cinnamon and mint 
 avoid spicy foods 
 avoid 
 chew 
 drink lot fluids 
 reduce stress with 
 stay socially active join pain support group 
 suck crushed ice 
"
cystic lung disease,"chest pain 
 tiredness 
 coughing 
 shortness breath 
 wheezing 
 chest pain 
 fever 
 night sweats 
 tiredness 
 weight loss 
"
cyclic migraines,"stress 
 changes 
 changes weather 
 dehydration 
 alcohol 
 some types foods such 
 strong smells such foods chemicals perfume 
"
cushing's syndrome,"rounded rosy face 
 weight gain 
 fat pad the upper back base the neck you may hear this called buffalo hump 
 thinning skin that easy 
 acne 
 being very 
 weak muscles especially when using your shoulders and hip muscles 
 high blood pressure 
 high 
 depression 
 osteoporosis 
 kidney stones 
 sleep 
 extra hair growth your body and face 
 irregular periods 
 low 
 decreased 
 the amount extra cortisol you have 
 the cause your high cortisol 
 how long you had the condition 
 your overall health 
"
dyslexia,"hard learn remember the letters the alphabet 
 gets their letters and words mixed 
 falls behind their peers language skills 
 mispronounces familiar words 
 has trouble with letters mistaking for 
 can recognize rhyming patterns like humpty dumpty sat wall humpty dumpty had great fall 
"
abnormal uterine bleeding,"blood work 
 ultrasound 
 hysteroscopy 
 biopsy 
 magnetic resonance imaging 
 hormones 
 gonadotropin releasing hormone agonists gnrha and gnrha antagonists 
 nsaids 
 tranexamic acid 
 iud 
 endometrial ablation 
 myomectomy uterine 
 hysterectomy 
"
ovarian cysts,"pelvic pain pressure 
 dull ache your back 
 bloating 
 nausea 
 swelling your belly area 
 pain during sex 
 pain during your period 
 frequent urge pee poop 
 bloating and pressure your belly 
 urges pee often 
 pain your lower belly pelvis 
 pain your lower back 
 fatigue 
 changes how often you poop including constipation 
 losing weight for known reason 
"
peptic ulcer,"bloated feeling 
 burping 
 lack appetite weight loss 
 nausea 
 bloody dark 
 vomiting 
"
losing voice,"pain when swallowing 
 pain the ear 
 trouble breathing 
 lump the neck 
"
duchenne muscular dystrophy,"curved spine also called 
 shortened tight muscles their legs called contractures 
 headaches 
 problems with learning and memory 
 shortness breath 
 sleepiness 
 trouble concentrating 
 how old was your child when they started walking 
 how well they things like run climb stairs get from the floor 
 how long have you noticed these problems 
 does anyone else your family have 
 they have any 
 how well they pay attention remember things 
"
rubella,"mild fever from 100 
 swollen and pink colored 
 headache 
 swollen glands 
 stuffy 
 cough 
 sore joints more common young women 
 general discomfort 
 lymph nodes may swollen and enlarged 
"
exocrine pancreatic insufficiency,"pain tenderness your belly 
 bad smelling bowel movements 
 diarrhea 
 gas 
 feeling full 
 you have pain your upper belly 
 have you had bad smelling bowel movements that are oily and hard flush down the toilet 
 you have gas diarrhea 
 have you lost weight 
"
germ cell tumors,"
 blood 
 imaging 
"
exercise treat arthritis,"help maintain normal joint movement 
 increase muscle flexibility and strength 
 help maintain weight reduce pressure joints 
 help keep bone and cartilage tissue strong and healthy 
 improve endurance and cardiovascular fitness 
 unusual persistent 
 sharp increased pain 
 increased weakness 
 decreased range motion 
 increased 
 continuing pain 
"
copd exercise,"nausea 
 dizziness 
 weakness 
 rapid 
 severe shortness breath 
 pain 
 pressure pain your chest arm neck jaw shoulder 
"
frozen shoulder (adhesive capsulitis),"
 joint distension 
 physical therapy 
 surgery 
 shoulder manipulation 
"
neuroleptic malignant syndrome,"high fever 
 muscle stiffness 
 sweating 
 anxiety other changes mental state 
 fast abnormal heartbeat 
 quick breathing 
 more 
 blood 
 brain 
 test spinal fluid 
 eeg find electrical problems the brain 
"
plantar fasciitis,"ray rule out 
 
"
fournier's gangrene,"pain around the genitals anus that gets worse 
 pain your belly 
 color changes the sore area 
 bad smell from the sore area 
 itchiness 
 popping sound when you rub the sore area 
 fever and chills 
 fast heart rate 
 low blood pressure 
 confusion 
 nausea and vomiting 
 low energy 
 computerized tomography scan that might help find where the infection 
 ultrasound exam that can help rule out other problems that cause similar symptoms 
 rays that look for gas the damaged tissues gas released from some the bacteria that cause fournier gangrene 
 blood tests look for signs infections and other clues 
"
grover's disease,"sudden rash the chest back and sometimes arms and legs 
 blisters containing thin watery liquid with hair follicle the center 
 blisters clumped together surrounded red swollen ring 
 itching which may intense 
 antifungal pills 
 antifungal lotions such selenium sulfide 
 cortisone shots 
 oral corticosteroids 
 antibiotics 
 systemic retinoid 
"
porphyria,"drinking 
 estrogen use women 
 hepatitis 
 hiv 
 smoking 
 barbiturates 
 sulfa 
 birth control pills 
 seizure 
 fasting 
 smoking 
 drinking alcohol 
 infections 
 menstrual hormones 
 stress 
 being the sun 
 belly 
 chest pain 
 faster 
 limb and 
 muscle weakness 
 tingling and loss sensation 
 cramping 
 vomiting 
 long term pain 
 kidney 
 liver cancer 
 hands 
 forearms 
 ears 
 neck 
 blisters 
 itching 
 swelling 
 pain 
 more 
 darkening and thickening 
 regular removal your blood lower the amount iron your liver this called 
 low doses the antimalarial drug 
 hematologists doctors who treat blood diseases 
 dermatologists specialists skin diseases 
 hepatologists doctors who treat 
 genetic counselors who advise people about their risk for inherited diseases 
"
grieving stages grief,"tiredness 
 headaches 
 nausea 
 upset stomach 
 joint pain 
 weak muscles 
 tightness your throat chest 
 loss appetite 
 sleeping too much too little 
 feeling sad that loved one died but also sense relief that they not pain 
 missing your spouse after divorce but also feeling happy about new start 
 having guilt for being glad you longer have take care dying loved one 
 feeling apathy 
"
baby group b strep,"fever 
 fast slow strained 
 trouble eating 
 extreme 
 irritability 
 blue color the 
 fluids through vein 
 oxygen 
 medicines treat other symptoms 
"
goiter,"hoarse voice 
 tightness your throat 
 dizziness when you raise your arms 
 swollen neck veins 
 coughing 
 trouble breathing 
 sweating 
 diarrhea 
 nausea 
 fast pulse heartbeat 
 shakiness hand tremors 
 weight loss 
 high 
 overheated feeling 
 nervousness 
 muscle 
 dry skin 
 tiredness 
 weight gain 
 constipation 
 irregular period 
 slowed physical and mental functions 
 depression 
 
 cold feeling 
 tingling numbness your hands 
"
graft versus host disease,"thickened skin sclerosis with severe dryness that extends the skin your genitals and your nails 
 swollen belly and weight loss from not being able eat 
 high levels cholesterol and other blood fats are more signs that your liver isn working well should 
 dry mouth sensitivity certain foods and possibly gum disease 
 very gritty dry eyes changes your vision 
 dry cough and shortness breath 
 muscle pain weakness and loss range motion 
 painful sex due changes within the genitals you have vagina 
 corticosteroids are usually the first these drugs given for acute gvhd your doctor may put you methylprednisolone through for weeks for chronic gvhd you might take prednisone pill form for weeks months the goal taper off these drugs soon possible 
"
hypoparathyroidism,"muscle cramps spasms your legs feet lower back face 
 tingling your fingers toes lips 
 anxiety 
 heart failure 
 irregular heartbeat 
 low blood pressure 
 seizures 
 cataracts 
 dental problems 
 movement disorders like tremors 
 hair loss and brittle nails 
 bone disease 
"
use heat ice pain,"skin that purplish red dark red spotty red and white color 
 hives 
 swelling 
 blisters 
"
prader-willi syndrome,"poor muscle tone limbs that hang loosely when you hold them 
 inability suck nurse well they gain weight slowly 
 eyes 
 appearance being tired all the time 
 weak soft cry 
 poor response you 
 babies 
 older kids and teens 
"
hyperemesis gravidarum,"lifestyle changes 
 ginger 
 pyridoxine 
 thiamine 
 medications 
"
rashes,"blistering 
 redness 
 scaly dry skin 
 similarity hives 
 blotchiness 
 swelling inflammation 
 itchy skin 
 pain 
 infection the areas broken skin 
 shiny flat topped bumps 
 large affected areas skin 
 circular shaped affected areas 
 skin 
 blood 
 allergy test 
"
sideroblastic anemia,"pale 
 rapid 
 headaches 
 heart palpitations 
 weakness and 
 chest pain 
"
anemia,"dizziness lightheadness feeling like you are about pass out 
 fast unusual heartbeat 
 
 pain including your bones chest belly and joints 
 problems with growth for children and 
 shortness breath 
 skin 
 cold hands and 
 tiredness weakness 
 brittle nails 
 mouth ulcers 
 loss sexual interest 
 for women increased menstrual bleeding 
 inflamed sore tongue 
 while rest with little activity shortness breath 
 getting lightheaded when you stand 
 pale skin color 
 pica syndrome the desire eat non food things such ice 
 blue color the whites the eyes 
"
mononucleosis,"fever 
 fatigue 
 sore throat 
 swollen lymph nodes 
 sore muscles 
 loss appetite 
 complete blood count 
 antibody tests 
"
symptoms infantile spasms,"positive myoclonus they twitch because their muscles suddenly tense 
 negative myoclonus their muscles suddenly relax 
"
prediabetes (borderline diabetes),"you lot thirstier than usual 
 you pee lot 
 your 
 you lot more 
"
idiopathic pulmonary fibrosis (ipf),"chest pain tightness 
 leg swelling 
 loss appetite 
 feeling more tired than usual 
 joint and muscle aches 
 weight loss without trying 
 clubbing when the tips your fingers and toes get wider 
"
kneecap problems,"bruises 
 you can walk 
 you can straighten your knee keep straight when you raise your leg 
"
acute kidney failure,"peeing less than normal 
 swelling your legs 
 feeling drowsy very tired 
 shortness breath 
 itching 
 joint pain swelling 
 loss appetite 
 confusion 
 throwing feeling like you going 
 chest pain 
 muscle 
 seizures 
 stomach 
 fever 
 rash 
 nosebleed 
"
seborrheic dermatitis,"flaking skin 
 flakes skin your mustache 
 patches greasy skin covered with flaky white yellow scales crust 
 rash that may look darker lighter people with brown black skin and redder those with white skin 
 ring shaped annular rash this called petaloid seborrheic dermatitis 
 itchiness pruritus 
 use oil remove scales 
 wash your skin 
 avoid hair styling products 
 avoid skin and hair products with 
 clean your eyelids 
 use aloe 
"
kernicterus,"seizures 
 unusual motor development and movement 
 muscle spasms and writhing 
 hearing and other sensory problems 
 inability gaze upward 
 stained 
"
kawasaki disease,"high fever 
 rash 
 peeling skin 
 swelling and redness hands and bottoms 
 red 
 swollen glands 
 irritated throat mouth and lips 
 swollen bright red strawberry 
 joint pain 
 belly 
 stomach 
 peeling skin hands and feet 
"
klinefelter syndrome (xxy syndrome),"hernia 
 more quiet than usual 
 slower learn sit crawl and talk 
 testicles that haven dropped into the scrotum 
 weaker muscles 
 hard time making friends and talking about feelings 
 low energy levels 
 problems learning read write and math 
 shyness and low confidence 
 larger 
 less facial and body 
 less muscle tone and muscles grow slower than usual 
 longer arms and legs wider hips and shorter torso than other boys their age 
 puberty never comes comes later doesn quite finish 
 small 
 taller than usual for the family 
 infertility 
 low 
 low testosterone 
 problems getting keeping erection 
"
diabetic nephropathy,"swelling the hands feet and face 
 trouble sleeping concentrating 
 poor appetite 
 nausea 
 weakness 
 itching 
 drowsiness end stage kidney disease 
 abnormalities the hearts regular rhythm because increased 
 muscle 
"
kidney disease,"high blood pressure 
 nausea and vomiting 
 loss appetite 
 
 fatigue 
 weakness 
 trouble thinking 
 sleep 
 muscle 
 swelling your 
 itching 
 chest pain 
 shortness breath fluid builds the 
"
high blood pressure kidney disease,"high worsening blood pressure 
 decrease amount urine difficulty urinating 
 edema fluid retention especially the lower legs 
 need urinate more often especially night 
"
nocardiosis,"chest pain 
 coughing 
 sweating 
 chills 
 feeling weak 
 lack appetite 
 unexplained weight loss 
 shortness breath hard time breathing 
 bad 
 motor skills problem like balance hand 
 extreme sensitivity loud sounds bright lights 
"
myelodysplastic syndromes,"constant tiredness this common symptom 
 unusual bleeding 
 bruises 
 paleness 
 shortness breath when you 
 
 take sample blood count the different types cells 
 get sample bone marrow for analysis they technician will insert special needle into your hip bone breastbone remove the sample 
 order genetic analysis cells from the bone marrow 
"
mumps,"use cold warm packs swollen areas 
 drink lots fluids 
 eat soft foods 
 rest 
 take over the counter non aspirin pain relievers 
"
peripheral neuropathy,"tingling 
 numbness 
 loss sensation the arms and legs 
 burning sensation the feet hands 
"
multiple myeloma,"bone pain 
 weakness and fatigue 
 weight loss and loss appetite 
 upset stomach 
 constipation 
 confusion 
 frequent infections 
 severe thirst 
 weakness numbness your arms and legs 
 bortezomib 
 carfilzomib 
 ixazomib 
"
parkinson's plus syndromes,"early signs dementia 
 falling often 
 trouble moving your 
 your symptoms get worse then level off for while 
 medication can help some people move more easily and feel less stiff some drugs also can help with the problems caused multiple system atrophy like fainting 
 cane walker can help you get around 
 speech therapy can help you communicate better 
 exercise 
 occupational therapy can help make everyday tasks easier 
"
muscular dystrophy,"the genes that cause 
 the muscles affects 
 the age when symptoms first appear 
 how quickly the disease gets worse 
 duchenne muscular dystrophy 
 becker muscular dystrophy 
 myotonic muscular dystrophy 
 congenital muscular dystrophy 
 limb girdle muscular dystrophy 
 facioscapulohumeral muscular dystrophy 
 distal muscular dystrophy 
 oculopharyngeal muscular dystrophy 
 emery dreifuss muscular dystrophy 
 fall down often 
 have weak muscles 
 have 
 have trouble getting climbing stairs running jumping 
 walk their toes waddle 
 curved spine called 
 droopy eyelids 
 heart problems 
 trouble breathing 
 vision problems 
 weakness the muscles the face 
 physical therapy 
 occupational therapy 
 speech therapy 
 respiratory therapy 
 medicines 
 eteplirsen exondys golodirsen vyondys53 and vitolarsen viltepso 
 anti 
 blood pressure 
 drugs that turn down the body immune system 
 steroids 
 creatine 
 surgery 
"
pain relief,"byron cryer spokesman for the american gastroenterological association and associate professor medicine the university texas southwestern medical center dallas 
 nieca goldberg spokeswoman for the american heart association and chief women cardiac care lennox hill hospital new york 
 john klippel president and ceo the 
 scott zashin clinical assistant professor the university texas southwestern medical center dallas and author 
"
broken nose,"swollen bent crooked nose 
 pain especially when you touch your nose 
 nosebleed 
 black 
 trouble breathing 
 mucus 
 cracking sound when you touch your nose 
"
non-small-cell lung cancer,"coughing 
 chest pain 
 hoarseness voice changes 
 harsh raspy sounds when you breathe 
 wheezing 
 weight loss 
 coughing blood 
 shortness breath 
 feeling weak tired 
 lasting lung problems like 
 bone pain 
 headache 
 dizziness 
 numbness 
 yellow 
"
renal cell carcinoma,"lump your side belly lower back 
 blood 
 low 
 losing weight 
 not feeling 
 fever 
 feeling tired 
 not enough red 
 night sweats 
 high levels 
 high blood pressure 
 when did you first notice problem 
 there blood your urine 
 have you been having any pain where 
 does anything make your symptoms better worse 
 has anyone your family had von hippel lindau disease what about kidney cancer 
"
need nitroglycerin sudden chest pain,"aching discomfort pain your chest 
 aching discomfort pain your jaw throat shoulders arms upper belly 
 trouble breathing 
 tiredness 
 nausea 
"
polycystic ovary syndrome (pcos),"non hyperandrogenic pcos type 
 ovulatory pcos type 
 non pco pcos type 
 full blown pcos type 
 insulin resistant pcos 
 inflammatory pcos 
 hidden cause pcos 
 pill induced pcos post pill pcos 
 periods that aren regular 
 signs your body making extra androgens such acne excess facial and body hair blood test that shows high androgen levels 
 ovarian cysts enlarged ovaries that show ultrasound 
 going sleep and waking about the same time each day 
 avoiding screens close bedtime 
 making sure your bedroom dark cool and quiet 
"
sleep disorders,"urinary tract infection 
 diabetes 
 structural anatomical abnormality 
 sleep apnea 
 neurological problems 
 emotional problems 
"
osgood-schlatter disease,"rest 
 ice 
 cross training 
 stretching 
 protection 
 stabilization with strap 
"
peripheral artery disease (pad),"changes the color your legs 
 erectile dysfunction 
 leg weakness 
 fatigue while walking especially legs 
 legs that are cooler than your arms 
 one leg that feels colder than the other 
 loss 
 fainter pulse your feet 
 shiny 
 skin that looks pale kind blue 
 slow toenail growth 
 wounds sores your toes feet that don heal well 
 you have family history pad heart attack stroke 
 you have high blood pressure 
 you have high cholesterol 
 you smoke now you have the past 
 you african american 
 you very overweight 
 control your cholesterol and blood pressure 
 control 
 eat healthy 
 exercise 
 don smoke 
 angioplasty 
 medications 
 surgery 
"
things prevent carpal tunnel syndrome,"adjust your keyboard position you don have bend your wrists when you type 
 keep your elbows close your side you type 
"
pneumonia,"chest pain when you breathe cough 
 cough that produces phlegm mucus 
 fatigue and loss appetite 
 fever sweating and chills 
 nausea vomiting and 
 shortness breath 
 blood tests look for signs bacterial infection 
 chest ray find the infection your lungs and how far spread 
 pulse oximetry measure the level oxygen your blood 
 
 arterial blood gas test measure the oxygen small amount blood taken from one your arteries 
 bronchoscopy check your airways for blockages other problems 
 scan get more detailed image your lungs 
 pleural fluid culture which the doctor removes small amount fluid from the tissues around your lungs look for bacteria that might cause pneumonia 
"
brain essential tremor,"shaking for brief periods time that you can control 
 shaking voice 
 nodding head 
 tremors that get worse during emotional stress 
 tremors that get worse when you move purpose 
 tremors that lessen with rest 
 balance problems rare cases 
 medications 
 adaptive devices 
 deep 
 mri guided focused high intensity 
 thalamotomy 
 biomechanical loading 
"
polymyositis,"muscle aches 
 fever 
 weight loss 
 fatigue 
 joint pain 
 trouble breathing 
 physical therapy 
 speech therapy 
 dietetic assessment 
"
hyperthyroidism (overactive thyroid),"thyroid panel 
 thyroid scan 
 ultrasound 
 radioactive iodine uptake test 
 headache 
 dizziness 
 digestive problems 
 orbital decompression surgery involves removing the bone between your 
 eye 
"
pick's disease,"are diagnosed earlier life 
 don have 
 don tend get lost familiar places 
 have harder time making sense their words the words others 
 have behavior problems early behavior problems usually come late 
 don have many 
"
rett syndrome,"less reaction pain than usual 
 small hands and feet that often get cold 
 trouble chewing and swallowing 
 grinding teeth 
 bowel problems 
"
respiratory syncytial virus (rsv),"high pitched whistling wheezing noise when they breathe 
 being unusually upset inactive 
 cough with yellow green gray mucus 
 trouble breathing pauses their breaths 
 refusing breastfeed bottle feed 
 signs dehydration lack tears when crying little urine their diaper for hours and cool dry skin 
 remove sticky nasal fluids with bulb syringe and saline drops 
 use cool mist vaporizer keep the air moist and make breathing easier 
 give your little one fluids small amounts throughout the day 
 use non aspirin fever reducers such acetaminophen check the label and follow all directions carefully 
 oxygen 
 fluids 
 medications procedures intubation open their airways 
"
tuberous sclerosis complex (tsc),"seizures 
 behavior changes such 
 nausea 
 problems such autism and developmental delays 
 what did you notice that brought you here today when did start 
 have you had seizures what happens how long they last how often 
 how often you have 
 does anyone else your family have seizures epilepsy 
 does anyone your family have tsc 
 scan this series rays creates detailed pictures your body check for tumors and other changes related the disease 
 mri this makes more detailed image than mri scan can show how 
 echocardiogram 
 gene tests done from blood sample can also confirm that you have tsc 
"
types stages syphilis,"painless sores appear the site infection 
 the sores heal their own after weeks but you can still spread syphilis 
 easily treated and cured with medicine 
 rough red reddish brown 
 swollen lymph nodes 
 fever 
 sore throat 
 patchy 
 headaches 
 extreme tiredness 
 problems controlling muscle movements 
 numbness 
 vision 
 dementia 
"
pilonidal cyst,"pain 
 pus 
 bad smell from the pus 
 tenderness the touch 
 fever 
"
premature ovarian failure,"hot flashes 
 night sweats 
 anxiety 
 concentration memory problems 
 your 
 trouble sleeping 
 vaginal dryness 
"
sweet syndrome,"feeling like you have the flu 
 feeling 
 headaches 
 joint pain 
 mouth 
 pink eye 
"
traveler's diarrhea,"abrupt onset 
 fever 
 nausea and vomiting 
 bloating 
 urgent need have 
 malaise weakness discomfort 
 explosive and painful gas 
 stomach 
 loss appetite 
"
transthyretin familial amyloid polyneuropathy,"cloudiness 
 dry eyes 
 increased pressure the 
"
concussions,"confusion feeling dazed 
 clumsiness 
 slurred speech 
 nausea 
 headache 
 balance problems 
 blurred 
 sensitivity light 
 sensitivity noise 
 sluggishness 
 ringing ears 
 irritability other behavior personality changes 
 difficulty concentrating 
 loss memory 
 fatigue sleepiness 
 loss consciousness 
 forgetfulness such repeating yourself 
 slowed response questions 
 problems with sleep 
 depression 
 problems with taste smell 
 headache 
 dizziness 
 problems with balance 
 upset stomach vomiting 
 fatigue 
 sensitivity light noise 
 mental fogginess slowed thinking 
 problems with memory concentration focus 
 feeling more irritable sad nervous emotional than usual 
 problems with sleep 
 changes sleeping eating patterns 
 not showing interest their favorite toys 
 unsteadiness 
 staring blankly 
 they are able speak their words are slurred 
 loss consciousness 
 particularly babies crying without being able consoled 
 also babies not nursing eating 
 extreme emotions 
 confusion distraction 
 not being able preform new skills such toilet training 
 large bruises head bumps places other than the forehead 
 weakness the arms legs 
 being very pale for more than hour 
 changes behavior 
 becoming easily confused such not being able recognize places people 
 slurred speech 
 problems with mental function 
 stumbling clumsiness 
 vomiting nausea 
 dilated pupils 
 ringing the ears that doesn away 
 seizures convulsions 
 dizziness that won away 
 improvement your condition 
 being unconscious for longer than seconds 
 worsening headache 
 fluid blood draining from the nose ears 
 take break 
 guard against repeat concussions 
 treat pain with aspirin free medications 
"
toxoplasmosis,"headaches 
 body aches 
 fever 
 feeling more tired than usual 
 confusion 
 lack coordination 
 
 
 blurred 
"
tourette's syndrome,"anxiety 
 learning disabilities 
 obsessive compulsive disorder 
 what did you notice that brought you here today 
 you often move your body way you can control how long has that been happening 
 you ever say things make sounds without meaning when did start 
 does anything make your symptoms better what makes them worse 
 you feel anxious have trouble focusing 
 does anyone else your family have these kinds symptoms 
 mri uses powerful magnets and radio waves make pictures organs and structures inside your body 
 scan powerful ray that makes detailed images your insides 
"
dystonia,"dragging leg 
 cramping your foot 
 involuntary pulling your neck 
 uncontrollable blinking 
 trouble speaking 
 handwriting that gets worse after you write few lines 
 tremor 
 levodopa sinemet and tetrabenazine nitoman 
 benztropine cogentin procyclidine hydrochloride kemadrin and trihexyphenidyl artane 
 baclofen baclofen clonazepam klonopin diazepam valium and lorazepam ativan 
 botulinum toxin botox xeomin 
 deep brain stimulation dbs 
 other surgeries 
 speech therapy and voice therapy may help you have laryngeal dystonia strengthening the muscles used speech 
 physical therapy focuses using movement stretch and strengthen your body the specific exercises that you will depend the type dystonia you have best work with physical therapist who has experience treating neurological conditions 
 occupational therapy like physical therapy but focuses more helping you basic daily activities such getting dressed 
 putting heat ice painful muscles 
 finding ways manage stress like deep breathing and reaching out loved ones for support 
 trying sensory tricks you may able temporarily stop muscle spasm simply touching that part the body nearby body part 
"
transverse myelitis,"pain your back 
 sharp pain that moves down your legs and arms around your chest and belly 
 weakness paralysis your legs arms 
 sensitivity touch the point where slight fingertip pressure causes pain 
 numbness pins and needles feeling your toes 
 muscle spasms 
 fever 
 loss appetite 
 bladder 
"
toxic shock syndrome,"high fever and chills 
 muscle aches 
 vomiting and diarrhea 
 headache 
 sore throat 
 low blood pressure 
 rash that looks like sunburn especially your palms and bottoms your feet 
 red eyes mouth and throat 
 confusion 
 seizures 
 what are the major criteria tss 
 what tss typically caused 
"
hypothyroidism (underactive thyroid),"cold hands and feet 
 constipation 
 extreme sleepiness 
 hoarse cry 
 little growth 
 low muscle tone floppy infant 
 persistent jaundice yellowing the skin and whites the eyes 
 poor feeding habits 
 puffy face 
 stomach bloating 
 swollen tongue 
 umbilical hernia 
 delays puberty 
 delays growth and shorter stature 
 slow mental development 
 slower development permanent teeth 
 thyroid stimulating hormone tsh 
 
"
upper limb spasticity,"stiff arm muscles 
 twitches movements that you can control 
 trouble using moving your arms 
 tightness the muscles your elbows wrists fingers 
 arms that get stuck uncomfortable positions such pressed against your side 
 rotated shoulders 
 bent elbows wrists 
 hands clenched into fists 
 difficulty pain when you move straighten your arm elbows wrists fingers 
 which muscles are having spasms 
 when did they start 
 how often you have them 
 does anything make your muscles feel better worse 
 are you having any pain stiffness 
 you have any trouble doing daily tasks taking care yourself what hard for you 
 exercises like stretches 
 braces splints 
 onabotulinumtoxina 
 drugs 
 nerve block injections 
 surgery 
"
vulvar cancer,"change the color your vulva 
 unusual growths bumps that may red pink white and feel rough thick 
 change how mole looks 
 thickened skin your vulva 
 open sore 
 itching 
 pain 
 unusual 
 pain when you pee 
"
von willebrand disease,"frequent large 
 frequent hard stop 
 blood your stool pee from 
 heavy bleeding after cut accident minor medical procedure 
 bleeding for long period time after major surgery 
 heavy long menstrual periods 
"
vitamin b12 deficiency anemia,"complete blood count 
 vitamin b12 level 
 intrinsic factor 
 schilling test 
 methylmalonic acid level mma 
"
ventricular tachycardia,"feeling lightheaded dizzy 
 chest pain 
 heart palpitations 
 shortness breath 
 fainting 
 tightness your neck 
 stopped heart cardiac arrest 
 cardioversion 
 medications 
 cardiac resynchronization therapy crt 
 implantable cardioverter defibrillator icd 
 cardiac ablation 
"
brain lesions,"wait and see the lesion not causing problems and not growing you may only need periodic checkups 
 surgical removal the lesion possible new surgical techniques may make possible remove even hard reach lesions 
 chemotherapy 
 medication 
 medication calm the immune system otherwise change the immune system response 
 medication other therapies relieve symptoms associated with the brain lesion 
"
vaginal cancer,"unusual bleeding from your vagina 
 watery bad smelling discharge from your vagina 
 pain 
 pain when having 
 pain when peeing 
 peeing more than usual 
 constipation 
 lump your vagina 
"
vasculitis,"fever 
 weight loss 
 loss appetite 
 fatigue 
 headache 
 general aches and pains 
 eyes 
 skin 
 nerves 
 brain 
 heart 
 kidneys 
 digestive system 
 ears 
 hands and feet 
 lungs 
 genitals 
 nose 
 mouth 
 the type vasculitis you have 
 how quickly you were diagnosed 
 which organs are affected and how seriously 
 other health problems you have 
"
sprained ankle,"severe pain bruising severe swelling 
 bleeding numbness change color the affected area 
 your ankle looks deformed seems dislocated 
 you can put any weight 
 rest the ankle use crutches needed 
 ice the ankle for minutes every hours for the first days 
 compress wrap the ankle lightly not tightly with elastic bandage ankle brace 
 for the first hours elevate raise the ankle higher than your heart whenever you lying down 
"
wolff-parkinson-white syndrome,"dizziness 
 palpitations feeling your heart flutter beat harder 
 loss consciousness 
 trouble breathing shortness breath 
"
wilms tumor,"belly 
 swelling their belly 
 growth that you can see feel their belly 
 fever 
 nausea 
 lack appetite 
 high blood pressure 
 blood 
 constipation 
 shortness breath 
"
vaginitis (vaginal infection),"your 
 you notice itching burning swelling soreness around outside your vagina 
 burns when you pee 
 sex uncomfortable 
"
