SicknessName,Symtoms
Heart failure,"Shortness of breath with activity or when lying down.
Fatigue and weakness.
Swelling in the legs, ankles and feet.
Rapid or irregular heartbeat.
Reduced ability to exercise.
Wheezing.
A cough that doesn't go away or a cough that brings up white or pink mucus with spots of blood.
Swelling of the belly area.
Very rapid weight gain from fluid buildup.
Nausea and lack of appetite.
Difficulty concentrating or decreased alertness.
Chest pain if heart failure is caused by a heart attack.
Chest pain.
Fainting or severe weakness.
Rapid or irregular heartbeat with shortness of breath, chest pain or fainting.
Sudden, severe shortness of breath and coughing up white or pink, foamy mucus.
Your symptoms suddenly become worse.
You develop a new symptom.
You gain 5 pounds (2.3 kilograms) or more within a few days.
If the heart is damaged or weakened, the heart chambers may stretch and get bigger. The heart can't pump out the needed amount of blood.
If the main pumping chambers of the heart, called the ventricles, are stiff, they can't fill with enough blood between beats.

    

    

    
 Also called hypertension, this condition forces the heart to work harder than it should to pump blood through the body. Over time, the extra work can make the heart muscle too stiff or too weak to properly pump blood.
 The valves of the heart keep blood flowing the right way. If a valve isn't working properly, the heart must work harder to pump blood. This can weaken the heart over time. Treating some types of heart valve problems may reverse heart failure.
 Myocarditis is most commonly caused by a virus, including the COVID-19 virus, and can lead to left-sided heart failure.
 If the heart and its chambers or valves haven't formed correctly, the other parts of the heart have to work harder to pump blood. This may lead to heart failure.
 Irregular heart rhythms may cause the heart to beat too fast, creating extra work for the heart. A slow heartbeat also may lead to heart failure. Treating an irregular heart rhythm may reverse heart failure in some people.
 Some long-term diseases may contribute to chronic heart failure. Examples are diabetes, 
 infection, an overactive or underactive thyroid, or a buildup of iron or protein.
Allergic reactions.
Any illness that affects the whole body.
Blood clots in the lungs.
Severe infections.
Use of certain medicines.
Viruses that attack the heart muscle.
 Narrowed arteries may limit the heart's supply of oxygen-rich blood, resulting in weakened heart muscle.
 A heart attack is a form of coronary artery disease that occurs suddenly. Damage to the heart muscle from a heart attack may mean the heart can no longer pump as well as it should.
 Having a heart valve that doesn't work properly raises the risk of heart failure.
 The heart works harder than it has to when blood pressure is high.
 Irregular heartbeats, especially if they are very frequent and fast, can weaken the heart muscle and cause heart failure.
 Some people who develop heart failure were born with problems that affect the structure or function of their heart.
 Having diabetes increases the risk of high blood pressure and coronary artery disease.
 This inability to breathe properly during sleep results in low blood-oxygen levels and an increased risk of irregular heartbeats. Both of these problems can weaken the heart.
 People who have obesity have a higher risk of developing heart failure.
 Some viral infections can damage to the heart muscle.
 The diabetes drugs rosiglitazone (Avandia) and pioglitazone (Actos) have been found to increase the risk of heart failure in some people. Don't stop taking these medicines without first talking to your health care provider.
 Other medicines that may lead to heart failure or heart problems include nonsteroidal anti-inflammatory drugs (NSAIDs) and some medicines used to treat high blood pressure, cancer, blood conditions, irregular heartbeats, nervous system diseases, mental health conditions, lung and urinary problems, and infections.
 The heart's ability to work decreases with age, even in healthy people.
 Drinking too much alcohol may weaken the heart muscle and lead to heart failure.
 If you smoke, quit. Using tobacco increases the risk of heart disease and heart failure.
 Heart failure can reduce the blood flow to the kidneys. Untreated, this can cause kidney failure. Kidney damage from heart failure can require dialysis for treatment.
 Heart failure can cause changes in the heart's size and function. These changes may damage heart valves and cause irregular heartbeats.
 Heart failure can cause fluid buildup that puts too much pressure on the liver. This fluid backup can lead to scarring, which makes it more difficult for the liver to work properly.
 If the heart is weak, there is a risk of dying suddenly due to a dangerous irregular heart rhythm.
Don't smoke.
Get plenty of exercise.
Eat healthy foods.
Maintain a healthy weight.
Reduce and manage stress.
Take medicines as directed.
"
Conjoined twins," Thoracopagus (thor-uh-KOP-uh-gus) twins are joined face to face at the chest. They often have a shared heart and may also share one liver and upper intestine. This is one of the most common sites of conjoined twins.
 Omphalopagus (om-fuh-LOP-uh-gus) twins are joined near the bellybutton. Many omphalopagus twins share the liver and some part of the upper digestive (gastrointestinal or GI) tract. Some twins share the lower part of the small intestine (ileum) and the longest part of the large intestine (colon). They generally do not share a heart.
 Pygopagus (pie-GOP-uh-gus) twins are commonly joined back to back at the base of the spine and the buttocks. Some pygopagus twins share the lower gastrointestinal (GI) tract. A few twins share the genital and urinary organs.
 Rachipagus (ray-KIP-uh-gus), also called rachiopagus (ray-kee-OP-uh-gus), twins are joined back to back along the length of the spine. This type is very rare.
 Ischiopagus (is-kee-OP-uh-gus) twins are joined at the pelvis, either face to face or end to end. Many ischiopagus twins share the lower 
 tract, as well as the liver and genital and urinary tract organs. Each twin may have two legs or, less commonly, the twins share two or three legs.
 Parapagus (pa-RAP-uh-gus) twins are joined side to side at the pelvis and part or all of the belly (abdomen) and chest, but with separate heads. The twins can have two, three or four arms and two or three legs.
 Craniopagus (kray-nee-OP-uh-gus) twins are joined at the back, top or side of the head, but not the face. Craniopagus twins share a portion of the skull. But their brains are usually separate, though they may share some brain tissue.
 Cephalopagus (sef-uh-LOP-uh-gus) twins are joined at the head and upper body. The faces are on opposite sides of a single shared head, and they share a brain. These twins rarely survive.
"
Pink eye (conjunctivitis),"Redness in one or both eyes.
Itchiness in one or both eyes.
A gritty feeling in one or both eyes.
A discharge in one or both eyes that forms a crust during the night that may prevent your eye or eyes from opening in the morning.
Tearing.
Sensitivity to light, called photophobia.
Viruses.
Bacteria.
Allergies.
A chemical splash in the eye.
A foreign object in the eye.
In newborns, a blocked tear duct.
Exposure to someone infected with the viral or bacterial form of conjunctivitis.
Exposure to something you're allergic to, for allergic conjunctivitis.
Using contact lenses, especially extended-wear lenses.
Eye pain.
A feeling that something is stuck in your eye.
Blurred vision.
Light sensitivity.
Don't touch your eyes with your hands.
Wash your hands often.
Use a clean towel and washcloth daily.
Don't share towels or washcloths.
Change your pillowcases often.
Throw away old eye cosmetics, such as mascara.
Don't share eye cosmetics or personal eye care items.
"
Constipation,"Fewer than three stools a week.
Hard, dry or lumpy stools.
Straining or pain when passing stools.
A feeling that not all stool has passed.
A feeling that the rectum is blocked.
The need to use a finger to pass stool.
Symptoms that last longer than three weeks.
Symptoms that make it difficult to do everyday activities.
Bleeding from your rectum or blood on toilet tissue.
Blood in your stools or black stools.
Other unusual changes in the shape or color of stools.
Stomach pain that doesn't stop.
Weight loss without trying.
Drink enough fluids.
Eat enough dietary fiber.
Exercise regularly.
Use the toilet when there's an urge to pass stool.
Pain.
High blood pressure.
Seizures.
Depression.
Disorders of the nervous system.
Allergies.
Irritable bowel syndrome.
Diabetes.
Multiple sclerosis.
Nerve dysfunction or damage.
Overactive thyroid, also called hyperthyroidism.
Parkinson's disease.
Pregnancy.
Being an older adult
Being a woman
Getting little or no physical activity
Having a mental health condition such as depression or an eating disorder
Swollen tissues around the anus, also called hemorrhoids.
Torn tissues of the anus, also called anal fissures.
Hard stools backed up into the colon, also called fecal impaction.
Exposed tissues of the rectum that have slipped out of the anal opening, also called rectal prolapse.
Eat lots of high-fiber foods, including vegetables, fruits, beans and whole-grain foods.
Eat fewer foods with low amounts of fiber such as processed foods, dairy and meats.
Drink plenty of fluids.
Stay active and exercise regularly.
Don't ignore the urge to pass stool.
Create a regular schedule for passing stool, especially after a meal.
"
Contact dermatitis,"An itchy rash
Leathery patches that are darker than usual (hyperpigmented), typically on brown or Black skin
Dry, cracked, scaly skin, typically on white skin
Bumps and blisters, sometimes with oozing and crusting
Swelling, burning or tenderness
The rash is so itchy that you can't sleep or go about your day
The rash is severe or widespread
You're worried about how your rash looks
The rash doesn't get better within three weeks
The rash involves the eyes, mouth, face or genitals
You think your skin is infected. Clues include fever and pus oozing from blisters.
It's hard to breathe after inhaling burning weeds.
Your eyes or nasal passages hurt after inhaling smoke from burning poison ivy.
You think an ingested substance has damaged the lining of your mouth or digestive tract.
Solvents
Rubber gloves
Bleach and detergents
Hair products
Soap
Airborne substances
Plants
Fertilizers and pesticides
Nickel, which is used in jewelry, buckles and many other items
Medications, such as antibiotic creams
Balsam of Peru, which is used in many products, such as perfumes, toothpastes, mouth rinses and flavorings
Formaldehyde, which is in preservatives, cosmetics and other products
Personal care products, such as body washes, hair dyes and cosmetics
Plants such as poison ivy and mango, which contain a highly allergenic substance called urushiol
Airborne allergens, such as ragweed pollen and spray insecticides
Products that cause a reaction when you're in the sun (photoallergic contact dermatitis), such as some sunscreens and cosmetics
Agricultural workers
Cleaners
Construction workers
Cooks and others who work with food
Florists
Hair stylists and cosmetologists
Health care workers, including dental workers
Machinists
Mechanics
Scuba divers or swimmers, due to the rubber in face masks or goggles
 Try to identify and avoid the cause of your rash. For ear and body piercings, use jewelry made of hypoallergenic material, such as surgical steel or gold.
 For poison ivy, poison oak or poison sumac, you might be able to remove most of the rash-causing substance if you wash your skin right away after coming into contact with it. Use a mild, fragrance-free soap and warm water. Rinse completely. Also wash any clothing or other items that may have come into contact with a plant allergen, such as poison ivy.
 Face masks, goggles, gloves and other protective items can shield you from irritating substances, including household cleansers.
 This can help you avoid a reaction to jean snaps, for example.
 These products can provide a protective layer for your skin. For example, a nonprescription skin cream containing bentoquatam (Ivy Block) may prevent or lessen your skin's reaction to poison ivy.
 Regularly applying moisturizing lotions can help restore your skin's outermost layer and keep your skin supple.
 Allergens from plants, such as poison ivy, can cling to pets and then be spread to people. Bathe your pet if you think it got into poison ivy or something similar.
"
Congenital adrenal hyperplasia," Classic 
 causes the body to produce an insufficient amount of cortisol. This can cause problems maintaining normal blood pressure, blood sugar and energy levels, and cause problems during physical stress such as illness.
 People with classic 
 can be seriously affected by a lack of cortisol, aldosterone or both. This is known as an adrenal crisis, and it can be life-threatening.

    

    

    

    

    

    
 Rapid growth may occur during childhood with an advanced bone age. Final height may be shorter than average.
 These can include irregular menstrual periods, or not having any at all, and having infertility problems in females. Fertility issues can sometimes occur in males.
Irregular menstrual periods, or not having any at all, and problems getting pregnant
Masculine characteristics such as facial hair, excessive body hair and a deepening voice
Early appearance of pubic hair and other signs of early puberty
Severe acne
Rapid growth during childhood with an advanced bone age and shorter than expected final height
Parents who both have 
 or are both carriers of the genetic change for the disorder
Being of Ashkenazi Jewish, Latino, Mediterranean, Yugoslav or Yup'ik ancestry
"
Genital warts,"Vulva.
Walls of the vagina.
Area between the outer part of the genitals and the anus.
Anal canal.
Cervix.
Tip or shaft of the penis.
Scrotum.
Anus.
Small swellings in the genital area that may be skin-colored or a different color.
A cauliflower-like shape caused by a few warts close together.
Itching or discomfort in your genital area.
Bleeding with sex.
Not getting the 
 vaccine.
Having sex without a condom or with more than one partner.
Having had another sexually transmitted infection.
Having sex with a partner whose sexual history you don't know.
Becoming sexually active at a young age.
Having a weakened immune system, such as from 
 or medicines from an organ transplant.

    

    

    

    

    

    
"
Craniosynostosis,"A misshapen skull, with the shape depending on which of the sutures are affected
Development of a raised, hard ridge along affected sutures, with a change in the shape of the head that's not typical
 Premature fusion of the sagittal suture that runs from the front to the back at the top of the skull forces the head to grow long and narrow. This head shape is called scaphocephaly. Sagittal craniosynostosis is the most common type of craniosynostosis.
 Premature fusion of one of the coronal sutures (unicoronal) that run from each ear to the top of the skull may cause the forehead to flatten on the affected side and bulge on the unaffected side. It also leads to turning of the nose and a raised eye socket on the affected side. When both coronal sutures fuse prematurely (bicoronal), the head has a short and wide appearance, often with the forehead tilted forward.
 The metopic suture runs from the top of the bridge of the nose up through the midline of the forehead to the anterior fontanel and the sagittal suture. Premature fusion gives the forehead a triangular appearance and widens the back part of the head. This head shape is also called trigonocephaly.
 Lambdoid synostosis is a rare type of craniosynostosis that involves the lambdoid suture, which runs along the back of the head. It may cause one side of a baby's head to appear flat, one ear to be higher than the other ear and tilting of the top of the head to one side.
 is the most common type of craniosynostosis. Its cause is unknown, although it's thought to be a combination of genes and environmental factors.
 is caused by certain genetic syndromes, such as Apert syndrome, Pfeiffer syndrome or Crouzon syndrome, which can affect a baby's skull development. These syndromes usually also include other physical features and health problems.
Permanently misshapen head and face
Poor self-esteem and social isolation
Developmental delays
Cognitive impairment
Blindness
Seizures
Headaches
"
Congenital heart defects in children,"Pale gray or blue lips, tongue or fingernails (cyanosis)
Rapid breathing
Swelling in the legs, belly or areas around the eyes
Shortness of breath during feedings, leading to poor weight gain
Easily becoming short of breath during exercise or activity
Easily tiring during exercise or activity
Fainting during exercise or activity
Swelling in the hands, ankles or feet
 is a hole between the upper heart chambers (atria). 
 is a hole in the wall between the right and left lower heart chambers (ventricles).
 (PAY-tunt DUK-tus ahr-teer-e-O-sus) is a connection between the lung artery and the body's main artery (aorta). It's open while a baby is growing in the womb, and typically closes a few hours after birth. But in some babies, it stays open, causing incorrect blood flow between the two arteries.
 occurs when all or some of the blood vessels from the lungs (pulmonary veins) attach to a wrong area or areas of the heart.
 A baby may be born with an aortic valve that has one or two valve flaps (cusps) instead of three. This creates a small, narrowed opening for blood to pass through. The heart must work harder to pump blood through the valve. Eventually, this leads to enlarging of the heart and thickening of the heart muscle.
 A defect on or near the pulmonary valve narrows the pulmonary valve opening and slows the blood flow. 
 The tricuspid valve — which is located between the right upper heart chamber (atrium) and the right lower chamber (ventricle) — is malformed and often leaks.
A hole in the wall between the heart's lower chambers (ventricles)
A narrowed passage between the right ventricle and pulmonary artery
A shift in the connection of the aorta to the heart
Thickened muscle in the right ventricle
 The valve that lets blood out of the heart to go to the lungs (pulmonary valve) isn't formed correctly. Blood can't travel its usual route to get oxygen from the lungs. 
 The tricuspid valve isn't formed. Instead, there's solid tissue between the right upper heart chamber (atrium) and the right lower chamber (ventricle). This congenital heart defect restricts blood flow and causes the right ventricle to be underdeveloped. 
 In this serious, rare congenital heart defect, the two main arteries leaving the heart are reversed (transposed). There are two types. Complete transposition of the great arteries is typically noticed during pregnancy or soon after birth. Levo-transposition of the great arteries (L-TGA) is less common. Symptoms may not be noticed right away.
 A major part of the heart fails to develop properly. In hypoplastic left heart syndrome, the left side of the heart hasn't developed enough to effectively pump enough blood to the body.
 Having rubella during pregnancy can cause problems in a baby's heart development. A blood test done before pregnancy can determine if you're immune to rubella. A vaccine is available for those who aren't immune.
 Careful control of blood sugar before and during pregnancy can reduce the risk of congenital heart defects in the baby. Diabetes that develops during pregnancy (gestational diabetes) generally doesn't increase a baby's risk of heart defects.

		

		

	
 Drinking alcohol during pregnancy increases the risk of congenital heart defects.
 If you smoke, quit. Smoking during pregnancy increases the risk of a congenital heart defect in the baby.
 Congenital heart defects sometimes run in families (are inherited) and may be associated with a genetic syndrome. Many children with an extra 21st chromosome (Down syndrome) have congenital heart defects. A missing piece (deletion) of genetic material on chromosome 22 also causes heart defects.
 This serious complication may develop in babies who have a significant heart defect. Signs of congestive heart failure include rapid breathing, often with gasping breaths, and poor weight gain.
 Congenital heart defects can increase the risk of infection of the heart tissue (endocarditis), which can lead to new heart valve problems.
 A congenital heart defect or scarring from heart surgery may cause changes in the heart's rhythm.
 Children with more-serious congenital heart defects often develop and grow more slowly than do children who don't have heart defects. They may be smaller than other children of the same age. If the nervous system has been affected, a child may learn to walk and talk later than other children.
 Although uncommon, some children with congenital heart defects are at increased risk of stroke due to blood clots traveling through a hole in the heart and on to the brain.
 Some children with congenital heart defects may develop anxiety or stress because of developmental delays, activity restrictions or learning difficulties. Talk to your child's provider if you're concerned about your child's mental health.
 Regular checkups with a health care provider during pregnancy can help keep mom and baby healthy.
 Taking 400 micrograms of folic acid daily has been shown to reduce birth defects in the brain and spinal cord. It may help reduce the risk of heart defects as well.
 These lifestyle habits can harm a baby's health. Also avoid secondhand smoke.
 A rubella infection during pregnancy may affect a baby's heart development. Get vaccinated before trying to get pregnant.
 If you have diabetes, good control of your blood sugar can reduce the risk of congenital heart defects.
 If you have other health conditions, including phenylketonuria, talk to your health care provider about the best way to treat and manage them.
 During pregnancy, have someone else do any painting and cleaning with strong-smelling products.
 Some medications can cause birth defects. Tell your provider about all the medications you take, including those bought without a prescription.
"
Congenital heart disease in adults,"Irregular heart rhythms (arrhythmias)
Blue skin, lips and fingernails (cyanosis)
Shortness of breath
Feeling tired very quickly with activity
Swelling of body tissue or organs (edema)
The heart is divided into chambers — two upper chambers (atria) and two lower chambers (ventricles).
The right side of the heart moves blood to the lungs through blood vessels (pulmonary arteries).
In the lungs, blood picks up oxygen and then returns to the left side of your heart through the pulmonary veins.
The left side of the heart then pumps the blood through the aorta and out to the rest of the body.
 Congenital heart disease appears to run in families (inherited). It's associated with many genetic syndromes. For instance, children with Down syndrome often have congenital heart defects. Genetic testing can detect Down syndrome and some other genetic conditions while a baby is still in the mother's womb.
 Having rubella during pregnancy may affect how the baby's heart develops while in the womb.
 Having type 1 or type 2 diabetes during pregnancy also may affect a baby's heart development. Gestational diabetes generally doesn't increase the risk of congenital heart disease.
 Taking certain medications while pregnant can cause congenital heart disease and other birth defects. Medications linked to heart defects include lithium for bipolar disorder and isotretinoin (Claravis, Myorisan, others), which is used to treat acne. Always tell your health care provider about the medications you take.
 Drinking alcohol while pregnant has been linked to an increased risk of heart defects in the baby.
 If you smoke, quit. Smoking during pregnancy increases the risk of congenital heart defects in the baby.
 Faulty heart signaling causes the heart to beat too fast, too slowly or irregularly. In some people, severe arrhythmias may cause stroke or sudden cardiac death if not treated. Scar tissue in the heart from previous surgeries can contribute to this complication.
 Bacteria or other germs can enter the bloodstream and move to the inner lining of the heart (endocardium). Untreated, this infection can damage or destroy the heart valves or cause a stroke. If you are at high risk of endocarditis, your care provider may recommend taking antibiotics one hour before dental cleanings. Regular dental checkups are important. Healthy gums and teeth reduce the risk that bacteria will enter the bloodstream.
 A congenital heart defect can allow a blood clot to pass through the heart and travel to the brain, where it reduces or blocks blood supply.
 Some congenital heart defects send more blood to the lungs, causing pressure to build. This eventually causes the heart muscle to weaken and sometimes to fail.
 Heart failure (congestive heart failure) means the heart can't pump enough blood to meet the body's needs.
"
Congenital myasthenic syndromes,"Droopy eyelids and poor eye control, often with double vision.
Difficulty chewing and swallowing.
Weakness of facial muscles.
Weak cry.
Slurring or nasal speech.
Delayed crawling and walking.
Delayed development of wrist, hand and finger skills, such as brushing teeth or combing hair.
Trouble supporting the head in an upright position.
Problems breathing, such as feeling short of breath and having short pauses in breathing, sometimes worsened by infection, fever or stress.
Skeletal deformities, such as joint, spine or foot deformities.
Unusual facial features, such as narrow jaw or wide-set eyes.
Hearing loss.
Weakness, numbness and pain, usually in hands and feet.
Seizures.
Kidney problems.
Cognitive impairment, rarely.
Nerve cells where the impulse starts (presynaptic).
Space between your nerve and muscle cells (synaptic).
Muscle cells where the impulse is received (postsynaptic), the most common location.
"
Concussion,"Headache.
Ringing in the ears.
Nausea.
Vomiting.
Fatigue or drowsiness.
Blurry vision.
Confusion or feeling as if in a fog.
Amnesia surrounding the event.
Dizziness or ""seeing stars.""
Temporary loss of consciousness, though this doesn't always occur.
Slurred speech.
Delayed response to questions.
Dazed appearance.
Forgetfulness, such as asking the same question over and over.
Trouble with concentration and memory.
Irritability and other personality changes.
Sensitivity to light and noise.
Trouble with sleep.
Feeling emotional or depressed.
Changes in taste and smell.
Dazed appearance.
Listlessness and tiring easily.
Irritability and crankiness.
Loss of balance and unsteady walking.
Excessive crying.
Change in eating or sleeping patterns.
Lack of interest in favorite toys.
Vomiting.
You or your child experiences a head injury, even if emergency care isn't required.
Repeated vomiting or nausea.
A loss of consciousness lasting longer than 30 seconds.
A headache that gets worse over time.
Fluid or blood draining from the nose or ears.
Vision or eye changes. For example, the black parts of the eye, known as the pupils, may be bigger than usual or unequal sizes.
Ringing in the ears that doesn't go away.
Weakness in the arms or legs.
Changes in behavior.
Confusion or disorientation. For example, the person may not recognize people or places.
Slurred speech or other changes in speech.
Obvious changes to mental function.
Changes in physical coordination, such as stumbling or clumsiness.
Seizures or convulsions.
Dizziness that doesn't go away or that goes away and comes back.
Symptoms that worsen over time.
Large head bumps or bruises, such as bruises around the eyes or behind the ears. It's especially important to seek emergency care if these symptoms appear in infants under 12 months of age.
Activities that can lead to falls, especially in young children and older adults.
High-risk sports such as American football, hockey, soccer, rugby, boxing or other contact sports.
Not using proper safety equipment and supervision when playing high-risk sports.
Auto accidents.
Pedestrian or bicycle accidents.
Military combat.
Physical abuse.
 Some people experience concussion-related headaches for several days to weeks after a brain injury.
 Some people experience a sense of spinning or dizziness for days or weeks after a brain injury.
 A small number of people may have multiple symptoms that last longer than expected. Longer lasting symptoms may include headaches, dizziness and trouble with thinking. If these symptoms persist beyond three months, they're called persistent post-concussive symptoms.
 Researchers are studying the effects of repeated head injuries that don't cause symptoms, known as subconcussive injury. At this time, there's no conclusive evidence that these repeated brain injuries affect brain function.
 Rarely, experiencing a second concussion before symptoms of a first concussion go away may result in rapid brain swelling. This can lead to death. It's important that athletes never return to sports while they're still experiencing symptoms of concussion.

    

    

    
 Wearing a seat belt may prevent serious injury, including head injury, during a traffic accident.
 Keep your home well lit. Keep your floors free of anything that might cause you to trip and fall. Falls around the home are a leading cause of head injury.
 To help lessen the risk of head injuries in children, block off stairways and install window guards.
 Exercise strengthens your leg muscles and improves your balance.
 Educate coaches, athletes, parents and others about concussions to help spread awareness. Coaches and parents also can help encourage good sportsmanship.
"
Congenital heart disease in adults,"Patch holes in a valve.
Reconnect valve flaps.
Separate valve flaps that have fused.
Separate, remove or reshape muscle near the valve.
Separate, shorten, lengthen or replace the cords that support the valve.
Remove excess valve tissue so that the leaflets can close tightly.
Tighten or reinforce the ring around a valve (annulus) using an artificial ring.
"
Hoarding disorder,"Getting and keeping too many items that you may not have a need for right now and don't have space for.
Ongoing difficulty throwing out or parting with your things, regardless of their actual value.
Feeling a need to save these items and being upset by the thought of getting rid of them.
Building up clutter to the point where you can't use rooms.
Trying to be perfect and avoiding or delaying decisions.
Problems with planning and organizing.
Disorganized piles or stacks of items, such as newspapers, clothes, paperwork, books or sentimental items.
Items that crowd and clutter your walking spaces and living areas. Rooms can't be used for the intended purpose, such as not being able to sleep in your bed.
Buildup of food or trash to large, unsanitary levels.
Distress or problems functioning or keeping yourself, others and pets safe in your home.
Conflict with others who try to reduce or remove clutter from your home.
Relationship issues, avoiding social activities and employment problems.
Difficulty organizing items and sometimes losing important items in the clutter.
You believe these items are unique or that you'll need them at some point in the future.
You feel emotionally connected to items that remind you of happier times or represent beloved people or pets.
You feel safe and comforted when surrounded by things.
You don't want to waste anything.
 Many people who have hoarding disorder have a behavior style that includes trouble making decisions and problems with attention, organization and problem-solving.
 There is a strong association between having a family member who has hoarding disorder and having the disorder yourself.
 Some people develop hoarding disorder after experiencing a stressful life event that they had difficulty coping with, such as the death of a loved one, divorce or losing possessions in a fire.
Increased risk of falls.
Injury or being trapped by shifting or falling items.
Family conflicts.
Loneliness and social isolation.
Conditions that aren't clean and can be a health risk.
A fire hazard.
Poor work performance.
Legal issues, such as eviction.
Depression.
Anxiety disorders.
Obsessive-compulsive disorder (OCD).
Attention-deficit/hyperactivity disorder (ADHD).
"
Compulsive sexual behavior,"You have repeated and intense sexual fantasies, urges, and behaviors that take up a lot of your time and feel as if they're beyond your control.
You feel driven or have frequent urges to do certain sexual behaviors, feel a release of the tension afterward, but also feel guilt or deep regret.
You've tried without success to reduce or control your sexual fantasies, urges or behavior.
You use compulsive sexual behavior as an escape from other problems, such as loneliness, depression, anxiety or stress.
You continue to engage in sexual behaviors in spite of them causing serious problems. These could include the possibility of getting or giving someone else a sexually transmitted infection, the loss of important relationships, trouble at work, financial issues, or legal problems.
You have trouble making and keeping healthy and stable relationships.
Can I manage my sexual impulses?
Am I distressed by my sexual behaviors?
Is my sexual behavior hurting my relationships, affecting my work or causing serious problems, such as getting arrested?
Do I try to hide my sexual behavior?
 and focus on the benefits of getting treatment.
 — many people struggle with compulsive sexual behavior. Mental health professionals are trained to be understanding and not judge people. But not all mental health providers are experienced in treating this condition. Look for a provider who has experience in diagnosing and treating compulsive sexual behavior.
 But providers are required to make a report if you tell them that you're going to hurt yourself or someone else. They also are required to report if you give information about sexual abuse of a child or abuse or neglect of someone who is vulnerable, such as an elderly or disabled person.
You think you may hurt yourself or others because of uncontrolled sexual behavior.
You feel like your sexual behavior is slipping out of control.
You're thinking of taking your own life. In the U.S., call or text 988 to reach the 
, available 24 hours a day, every day. Or use the 
. Services are free and confidential.
 Compulsive sexual behavior, over time, might cause changes in the brain's pathways, called neural circuits. This may happen especially in areas of the brain that are related to reinforcement. Over time, more-intense sexual content and stimulation are usually needed to get satisfaction or relief.
 Certain chemicals in your brain called neurotransmitters — such as serotonin, dopamine and norepinephrine — help control your mood. When these are out of balance, your sexual desire and behavior could be affected.
 Certain health conditions, such as dementia, may cause damage to parts of the brain that affect sexual behavior. Also, treatment of Parkinson's disease with certain medicines may cause compulsive sexual behavior.
 Advances in technology and social media give people easy access to intense sexual images and information.
 The secret and private nature of compulsive sexual activities can allow these problems to worsen over time.
Problems with alcohol or drug use.
Another mental health condition, such as depression, anxiety or a gambling addiction.
Family conflicts or family members with problems such as addiction.
A history of physical or sexual abuse.
 shame and low self-esteem.
 such as depression, severe distress and anxiety. You also may think about or attempt suicide.
 harming or destroying important relationships.
 risking your job.
 from buying pornography, internet or telephone sex, and sexual services.
 or pass a sexually transmitted infection to someone else.
 such as using recreational drugs or drinking too much alcohol.
 for sexual offenses.
 Identifying and treating early problems may help prevent compulsive sexual behavior from getting worse over time. Getting help also may prevent shame, relationship problems and harmful acts from getting worse.
 Depression, anxiety or other mental health conditions can make compulsive sexual behavior worse.
 These can cause a loss of control that leads to poor judgment and sexual behaviors that aren't healthy.
 Don't risk your health or that of others by putting yourself into situations where you'll be tempted to engage in risky sexual activities.
"
Complicated grief,"Intense sorrow, pain and rumination over the loss of your loved one
Focus on little else but your loved one's death
Extreme focus on reminders of the loved one or excessive avoidance of reminders
Intense and persistent longing or pining for the deceased
Problems accepting the death
Numbness or detachment
Bitterness about your loss
Feeling that life holds no meaning or purpose
Lack of trust in others
Inability to enjoy life or think back on positive experiences with your loved one
Have trouble carrying out normal routines
Isolate from others and withdraw from social activities
Experience depression, deep sadness, guilt or self-blame
Believe that you did something wrong or could have prevented the death
Feel life isn't worth living without your loved one
Wish you had died along with your loved one
An unexpected or violent death, such as death from a car accident, or the murder or suicide of a loved one
Death of a child
Close or dependent relationship to the deceased person
Social isolation or loss of a support system or friendships
Past history of depression, separation anxiety or post-traumatic stress disorder (PTSD)
Traumatic childhood experiences, such as abuse or neglect
Other major life stressors, such as major financial hardships
Depression
Suicidal thoughts or behaviors
Anxiety, including PTSD
Significant sleep disturbances
Increased risk of physical illness, such as heart disease, cancer or high blood pressure
Long-term difficulty with daily living, relationships or work activities
Alcohol, nicotine use or substance misuse
 Talking about your grief and allowing yourself to cry also can help prevent you from getting stuck in your sadness. As painful as it is, trust that in most cases, your pain will start to lift if you allow yourself to feel it.
 Family members, friends, social support groups and your faith community are all good options to help you work through your grief. You may be able to find a support group focused on a particular type of loss, such as the death of a spouse or a child. Ask your doctor to recommend local resources.
 Through early counseling after a loss, you can explore emotions surrounding your loss and learn healthy coping skills. This may help prevent negative thoughts and beliefs from gaining such a strong hold that they're difficult to overcome.
"
