Sickness_Name,Symptoms
alcohol poisoning,"['severe confusion', 'trouble staying awake', 'throwing', 'seizures', 'slow breathing fewer eight breaths per minute', 'long pauses breaths seconds', 'slow heartbeat', 'low body temperature', 'bluish gray pale skin', 'slow responses gag reflex']"
bartter syndrome,"['indomethacin anti inflammatory drug helps body make less urine', 'potassium sparing diuretics help keep potassium', 'raas inhibitors help keep losing potassium', 'calcium', 'food high salt', 'fluids put directly vein infants severe forms']"
get motion sickness,"['relax find something focus whether taking deep breaths counting backwards 100 closing', 'look stable object boat look horizon car look windshield', 'avoid', 'breathe fresh air smoke', 'avoid reading']"
fetal alcohol syndrome,"['small head brain size', 'vision hearing problems', 'joint limb finger deformities', 'distinctive facial features like small eyes thin upper lip ridge nose upper lip', 'learning problems', 'coordination balance problems', 'trouble reasoning', 'hyperactivity', 'moodiness', 'poor social skills', 'difficulty school', 'poor impulse control', 'diagnosed age', 'loving nurturing stable home school years', 'exposed violence', 'get special education social services']"
myelofibrosis,"['fatigue', 'frequent infections low', 'easy bleeding bruising lack platelets blood thrombocytopenia', 'swollen liver hepatomegaly spleen splenomegaly', 'night sweats', 'itchy skin', 'fever', 'bone joint pain', 'weight loss', 'blood clots', 'bleeding stomach esophagus', 'high blood pressure', 'blood tests', 'imaging tests', 'gene tests', 'bone marrow tests', 'glucocorticoid drugs', 'human made male hormones androgens like', 'drugs affect immune system immunomodulators', 'oral kinase inhibitor', 'chemotherapy drugs like', 'blood transfusions', 'hydroxyurea', 'interferon']"
age-related macular degeneration (amd),"['acupuncture treatment involves placing tiny needles specific points body people practice acupuncture think helps amd increasing blood flow eyes', 'microcurrent stimulation involves applying slight electric current area around eyes idea could help cells retina get rid waste products', 'macular hole small hole forms macula leading distorted vision', 'myopic macular degeneration affects people serious myopia nearsightedness', 'stargardt disease also known juvenile macular degeneration hereditary condition affects young people', 'diabetic retinopathy complication diabetes causes damage blood vessels retina']"
acromegaly,"['achy joints possibly leading arthritis', 'stiff rough body hair', 'hoarser deeper voice', 'pinched nerve problems', 'skin oily thick', 'skin tags', 'sweating lot body odor', 'headaches', 'snoring sleep apnea breathing problem happens sleep', 'weakness tired', 'tingling pain fingers carpal tunnel syndrome', 'vision problems', 'lower sex drive', 'changes menstrual cycle breast discharge women', 'erectile dysfunction men', 'somatostatin analogs lanreotide octreotide pasireotide', 'growth hormone receptor antagonists pegvisomant', 'dopamine agonists cabergoline bromocriptine']"
signs nervous breakdown,"['low self esteem', 'fearfulness', 'irritability', 'worrying', 'feeling helpless', 'getting angry easily', 'withdrawing family friends', 'losing interest favorite activities', 'difficulty', 'uncontrollable crying', 'thoughts self harm suicide']"
amyloidosis,"['changes skin color', 'severe fatigue', 'feeling fullness', 'joint pain', 'low red blood cell count anemia', 'shortness breath', 'swelling tongue', 'tingling numbness legs feet', 'weak hand grip', 'severe weakness', 'sudden weight loss', 'shortness breath light activity lying', 'irregular heartbeat', 'signs heart failure including swelling feet ankles weakness fatigue nausea among others', 'blood urine tests', 'imaging tests see inside body like ultrasound echocardiogram electrocardiogram mri scan', 'biopsy', 'genetic testing cardiac amyloidosis runs family', 'medications including chemotherapy immunotherapy', 'pacemaker', 'stem cell transplant', 'high dose chemotherapy stem cell transplant help remove substance leads amyloid formation people primary amyloidosis chemotherapy medicines alone may used treat patients primary amyloidosis', 'secondary amyloidosis treated controlling underlying disorder powerful anti inflammatory medicines called steroids fight inflammation', 'liver transplant may treat disease certain types hereditary amyloidosis', 'new therapies slow production abnormal protein ttr', 'doctor might also recommend kidney transplant', 'diuretic medicine remove extra water body', 'thickeners add fluids prevent choking trouble swallowing', 'compression stockings relieve swelling legs feet', 'changes eat especially gastrointestinal amyloidosis']"
supraventricular tachycardia (svt),"['whether symptoms came suddenly slowly', 'feel like long last', 'fast heartbeat caffeine stress', 'anyone family heart problems procedures', 'feel', 'get temperature measure', 'take small', 'holter monitor', 'event monitor']"
agoraphobia,"['outside house', 'open space like parking lot mall', 'enclosed space like theatre small office', 'line crowd', 'public transportation including planes']"
